date,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines,population,administrative_area_level,administrative_area_level_1,state,administrative_area_level_3,id,active,date_int,date_str
12/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43873,12/02/2020
12/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43873,12/02/2020
13/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43874,13/02/2020
13/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43874,13/02/2020
13/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43874,13/02/2020
13/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43874,13/02/2020
13/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43874,13/02/2020
13/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43874,13/02/2020
13/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43874,13/02/2020
13/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43874,13/02/2020
13/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43874,13/02/2020
14/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43875,14/02/2020
14/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43875,14/02/2020
14/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43875,14/02/2020
14/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43875,14/02/2020
14/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43875,14/02/2020
14/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43875,14/02/2020
14/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43875,14/02/2020
14/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43875,14/02/2020
14/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43875,14/02/2020
15/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43876,15/02/2020
15/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43876,15/02/2020
15/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43876,15/02/2020
15/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43876,15/02/2020
15/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43876,15/02/2020
15/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43876,15/02/2020
15/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43876,15/02/2020
15/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43876,15/02/2020
15/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43876,15/02/2020
16/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43877,16/02/2020
16/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43877,16/02/2020
16/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43877,16/02/2020
16/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43877,16/02/2020
16/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43877,16/02/2020
16/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43877,16/02/2020
16/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43877,16/02/2020
16/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43877,16/02/2020
16/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43877,16/02/2020
17/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43878,17/02/2020
17/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43878,17/02/2020
17/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43878,17/02/2020
17/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43878,17/02/2020
17/02/2020,5,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,5,43878,17/02/2020
17/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43878,17/02/2020
17/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43878,17/02/2020
17/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43878,17/02/2020
17/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43878,17/02/2020
18/02/2020,15,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,15,43879,18/02/2020
18/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43879,18/02/2020
18/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43879,18/02/2020
18/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43879,18/02/2020
